PlayerName,G,AB,H,2B,3B,HR,R,RBI,BB,SO,SB,AVG,K%,ADP,id
Alan Trejo,63,217,53,12,1,6,26,26,10,57,3,0.246,0.246,646.99,20056
David Hensley,70,233,54,11,1,4,27,22,21,70,4,0.23,0.273,605.75,25111
Owen Miller,42,149,38,8,1,3,17,16,10,33,1,0.253,0.202,681.01,24655
Nolan Jones,48,163,41,9,1,4,22,19,18,53,2,0.25,0.287,470.54,20529
Rougned Odor,48,168,36,7,1,6,20,21,12,45,2,0.213,0.243,730.84,12282
Will Benson,74,222,47,10,1,8,30,26,27,77,6,0.213,0.303,523.46,21853
Tyler Heineman,23,72,16,3,0,1,7,6,5,13,1,0.224,0.163,999,13897
Riley Adams,56,178,37,8,0,6,20,20,16,67,0,0.207,0.335,747.41,19864
Cal Mitchell,52,186,48,10,1,4,21,23,13,41,3,0.256,0.203,701.54,22169
Didi Gregorius,27,96,22,4,1,2,10,10,6,17,1,0.232,0.159,999,6012
Pedro Severino,22,71,16,3,0,2,8,8,5,19,0,0.224,0.251,749.33,14523
Lenyn Sosa,25,91,23,5,0,2,10,11,4,19,1,0.252,0.192,744.78,22896
Curtis Mead,17,64,16,4,0,1,7,8,4,14,1,0.252,0.204,999,sa3008392
Stuart Fairchild,48,147,35,7,1,5,19,19,12,46,3,0.235,0.284,746.53,20321
Jes̼s Aguilar,102,376,88,16,0,13,40,51,32,93,0,0.233,0.221,468.84,11342
Harold Castro,47,171,49,8,1,3,21,19,8,31,1,0.29,0.171,619.3,14691
Jonah Bride,21,69,16,3,0,1,7,7,7,14,0,0.236,0.185,999,24703
Blake Sabol,45,154,36,8,1,3,18,16,13,50,2,0.231,0.293,999,sa3010269
Darin Ruf,50,159,35,7,0,6,21,22,19,50,1,0.223,0.278,728.99,9929
Adam Engel,62,190,42,9,1,4,24,18,11,57,9,0.222,0.277,749.41,15082
Adam Duvall,106,386,80,16,1,19,45,55,27,131,2,0.206,0.312,317.86,10950
Jordan Groshans,27,97,24,5,0,1,10,10,8,21,0,0.248,0.201,733.68,23794
Terrin Vavra,26,82,20,4,0,1,10,8,9,20,2,0.247,0.212,746.51,24400
Tucupita Marcano,32,110,27,5,1,1,13,10,9,21,3,0.244,0.175,749.54,22871
Tyler Naquin,40,136,33,7,1,5,17,17,10,38,2,0.241,0.258,716.78,13359
Cristian Pache,73,238,52,10,1,4,23,20,14,71,4,0.218,0.274,714.97,19948
Conner Capel,75,251,56,12,1,5,27,26,20,61,6,0.223,0.22,601.64,19983
