PlayerName,G,AB,H,2B,3B,HR,R,RBI,BB,SO,SB,AVG,K%,ADP,id
Luke Williams,11,21,5,1,0,0,3,2,1,6,1,0.223,0.268,999,19931
Michael Chavis,20,70,16,3,0,2,8,8,4,22,1,0.229,0.291,737.71,17321
Billy Hamilton,9,18,4,1,0,0,2,1,1,5,1,0.202,0.278,750.59,10199
Alcides Escobar,26,87,21,4,0,1,9,8,4,19,1,0.235,0.203,999,6310
Garrett Stubbs,32,95,21,4,0,2,11,9,10,25,2,0.216,0.23,743.34,18067
Miguel AndÃºjar,16,60,16,3,0,1,7,7,3,10,1,0.261,0.152,721.24,15878
Cam Gallagher,13,42,9,2,0,0,4,4,3,11,0,0.205,0.246,999,12981
Nelson VelÃ¡zquez,39,129,28,6,1,4,15,14,11,48,3,0.216,0.337,739.83,23359
Rylan Bannon,6,21,4,1,0,1,2,2,2,6,0,0.209,0.266,999,19768
David Hamilton,8,28,6,1,0,0,4,2,2,7,2,0.221,0.244,999,sa3014434
Wenceel Perez,3,8,2,0,0,0,1,1,1,2,0,0.246,0.181,999,sa3003326
Freddy Fermin,10,34,8,2,0,1,3,4,2,8,0,0.227,0.206,999,21840
Dillon Dingler,4,11,2,0,0,0,1,1,1,4,0,0.213,0.315,999,sa3014528
Kramer Robertson,12,10,2,0,0,0,1,1,1,2,0,0.215,0.22,999,20022
Jermaine Palacios,6,15,3,1,0,0,2,1,1,4,0,0.224,0.268,999,18371
Ceddanne Rafaela,5,20,5,1,0,0,2,2,1,5,1,0.238,0.231,999,sa3005581
Ford Proctor,9,22,5,1,0,0,2,2,2,7,0,0.214,0.285,999,21634
Chad Wallach,5,15,3,1,0,0,1,1,1,5,0,0.193,0.31,999,17161
Dustin Harris,5,15,4,1,0,0,2,2,1,4,0,0.243,0.219,999,sa3010279
Nomar Mazara,26,79,19,4,0,2,8,9,6,20,0,0.235,0.235,750.58,14553
Sheldon Neuse,7,19,4,1,0,0,2,2,1,6,0,0.229,0.276,749.17,19635
Mike Tauchman,9,31,7,1,0,1,4,3,3,9,1,0.228,0.248,999,15274
Ronaldo HernÃ¡ndez,4,9,2,0,0,0,1,1,0,2,0,0.236,0.226,999,sa881850
Rob Brantly,3,12,3,1,0,0,1,1,1,2,0,0.224,0.192,750.75,10655
Cal Stevenson,6,18,4,1,0,0,2,1,2,5,1,0.229,0.222,999,22411
Eli White,15,50,11,2,0,1,7,5,4,17,2,0.219,0.308,748.54,19346
Jason Vosler,21,55,12,2,0,2,6,7,4,16,0,0.22,0.263,999,16686
Aramis Garcia,10,25,5,1,0,1,2,3,1,8,0,0.206,0.312,999,16925
Dixon Machado,5,14,3,1,0,0,1,1,1,3,0,0.219,0.203,999,11472
Joe Perez,10,16,4,1,0,0,2,2,1,5,0,0.229,0.284,999,22254
Drew Ellis,7,15,3,1,0,0,2,2,2,5,0,0.191,0.298,999,19873
Spencer Horwitz,6,18,4,1,0,0,2,2,2,4,0,0.237,0.209,999,sa1115496
Abraham Almonte,2,7,1,0,0,0,1,1,1,2,0,0.219,0.254,999,5486
Davis Wendzel,4,13,3,1,0,0,1,1,1,4,0,0.199,0.281,999,sa3011890
Tim Lopes,9,25,6,1,0,0,3,2,2,7,1,0.221,0.26,749.13,14137
Tony Wolters,5,13,3,0,0,0,1,1,1,4,0,0.201,0.265,999,11470
Joe Hudson,3,9,2,0,0,0,1,1,1,3,0,0.2,0.301,999,14412
Yuli Gurriel,72,270,68,13,1,5,29,31,14,37,3,0.253,0.126,592.34,19198
Jack Mayfield,14,38,8,2,0,1,4,4,2,9,1,0.216,0.231,999,15402
Derek Hill,18,59,13,2,0,1,7,5,4,20,2,0.219,0.313,999,16947
Jake Alu,41,149,36,8,1,3,16,15,9,35,3,0.242,0.218,999,sa3010009
Mickey Moniak,21,71,15,3,0,2,8,8,4,23,1,0.217,0.293,722.75,19956
Daniel Robertson,4,9,2,0,0,0,1,1,1,3,0,0.207,0.267,999,14145
Jake Marisnick,20,53,11,2,0,2,6,6,3,17,2,0.219,0.305,999,11339
Dee Strange-Gordon,14,49,12,2,1,0,5,4,2,8,2,0.25,0.162,748.38,8203
Brennen Davis,5,11,2,0,0,0,1,1,1,4,0,0.221,0.297,999,sa3007876
Alexander Canario,4,11,2,0,0,0,1,1,1,4,0,0.22,0.305,999,sa3003316
Anthony Bemboom,4,13,3,0,0,0,1,1,1,4,0,0.203,0.265,999,13854
Khalil Lee,9,14,3,1,0,0,2,1,1,6,0,0.203,0.362,749.47,19952
Heliot Ramos,6,16,4,1,0,0,2,2,1,5,0,0.244,0.269,750.63,22515
Joe McCarthy,3,11,2,1,0,0,1,1,1,3,0,0.216,0.259,750.83,18399
Nathan Lukes,11,39,9,2,0,1,4,4,3,9,1,0.237,0.208,999,sa875215
Kelvin GutiÃ©rrez,2,5,1,0,0,0,1,1,0,2,0,0.232,0.253,999,17468
Austin Romine,14,37,8,1,0,1,3,4,2,12,0,0.217,0.292,999,5491
Josh Lester,11,15,3,1,0,0,1,2,1,4,0,0.208,0.277,999,17737
Lewis Brinson,3,9,2,0,0,0,1,1,1,3,0,0.226,0.294,999,14352
Yolmer Sanchez,8,22,5,1,0,0,2,2,2,6,0,0.218,0.254,999,11602
Max Schrock,7,15,4,1,0,0,2,2,1,3,0,0.237,0.173,999,17750
Brent Rooker,8,25,5,1,0,1,3,3,2,10,0,0.207,0.337,749.24,19627
Steven Duggar,6,16,3,1,0,0,2,2,1,6,0,0.217,0.325,999,17719
Brenton Doyle,10,38,9,2,0,1,5,4,2,13,1,0.239,0.317,999,sa3009965
Adam Haseley,10,28,6,1,0,0,3,2,2,6,1,0.224,0.208,999,19878
Wilyer Abreu,2,6,1,0,0,0,1,1,1,2,0,0.22,0.301,999,sa3005082
Vinny Capra,7,10,2,1,0,0,1,1,1,3,0,0.23,0.222,999,25040
Michael Siani,20,66,15,3,0,1,8,6,5,15,3,0.224,0.214,747.5,22557
Ronald GuzmÃ¡n,3,6,1,0,0,0,1,1,1,2,0,0.222,0.28,999,14388
SÃ­mon Muzziotti,10,15,4,1,0,0,2,1,1,3,0,0.241,0.202,999,19553
Ildemaro Vargas,58,199,46,10,1,2,18,18,10,30,2,0.233,0.14,749.03,13324
Taylor Motter,6,21,4,1,0,1,2,2,2,6,0,0.198,0.255,999,12399
Andrew Bechtold,3,8,2,0,0,0,1,1,1,3,0,0.205,0.331,999,sa829787
JesÃºs Aguilar,102,377,85,16,0,13,38,50,32,93,0,0.227,0.221,468.84,11342
Jo Adell,31,109,24,5,1,4,14,12,7,40,2,0.219,0.339,541.92,20220
